Date,Sport,Event,Bet Type,Line,Side,Odds,Odds Decimal,Stake,Win Probability,DTM,Result,Has Results,Predicted Value,Stat Value
2026-08-05,WNBA,Michaela Onyenwere,Total Three-Pointers Made,1.5,over,152,2.52,5,43.39,6.14,,FALSE,1.66,
2026-08-05,WNBA,Sonia Citron,Total Three-Pointers Made,1.5,under,-270,1.37,5,61.76,-41.5,,FALSE,1.32,
2026-08-05,WNBA,Paige Bueckers,Total Three-Pointers Made,1.5,over,102,2.02,5,48.21,-2.56,,FALSE,1.64,
2026-08-05,WNBA,Arike Ogunbowale,Total Three-Pointers Made,1.5,over,-136,1.74,5,56.88,-1.76,,FALSE,1.97,
2026-08-05,WNBA,Azzi Fudd,Total Three-Pointers Made,2.5,under,-188,1.53,5,65.87,1.7,,FALSE,2.16,
2026-08-05,WNBA,Lauren Betts,Total Rebounds,3.5,over,-118,1.85,5,53.12,-2.19,,FALSE,3.86,
2026-08-05,WNBA,Michaela Onyenwere,Total Rebounds,3.5,over,128,2.28,5,45.76,3.38,,FALSE,3.94,
2026-08-05,WNBA,Shakira Austin,Total Rebounds,9.5,under,-136,1.74,5,57.93,0.71,,FALSE,8.47,
2026-08-05,WNBA,Sonia Citron,Total Rebounds,3.5,under,-110,1.91,5,45.48,-14.5,,FALSE,3.4,
2026-08-05,WNBA,Kiki Iriafen,Total Rebounds,9.5,under,-114,1.88,5,54.39,2.39,,FALSE,8.88,
2026-08-05,WNBA,Paige Bueckers,Total Rebounds,3.5,over,-152,1.66,5,54.07,-15.73,,FALSE,4.23,
2026-08-05,WNBA,Alanna Smith,Total Rebounds,3.5,over,-125,1.8,5,54.06,-3.37,,FALSE,4.18,
2026-08-05,WNBA,Arike Ogunbowale,Total Rebounds,3.5,under,-182,1.55,5,56.11,-23.77,,FALSE,3.21,
2026-08-05,WNBA,Jessica Shepard,Total Rebounds,10.5,under,106,2.06,5,53.22,9.09,,FALSE,8.67,
2026-08-05,WNBA,Georgia Amoore,Total Assists,3.5,over,-102,1.98,5,50.35,-0.29,,FALSE,3.57,
2026-08-05,WNBA,Shakira Austin,Total Assists,2.5,over,-168,1.6,5,57.61,-13.59,,FALSE,2.58,
2026-08-05,WNBA,Sonia Citron,Total Assists,3.5,over,-144,1.69,5,56.66,-5.74,,FALSE,3.85,
2026-08-05,WNBA,Paige Bueckers,Total Assists,5.5,under,-108,1.93,5,53.11,2.46,,FALSE,5.32,
2026-08-05,WNBA,Arike Ogunbowale,Total Assists,3.5,under,-114,1.88,5,53.46,0.4,,FALSE,3.43,
2026-08-05,WNBA,Jessica Shepard,Total Assists,5.5,under,102,2.02,5,51.25,3.46,,FALSE,5.23,
2026-08-05,WNBA,Lauren Betts,Total Points Plus Rebounds,9.5,over,-132,1.76,5,58.79,4.4,,FALSE,10.53,
2026-08-05,WNBA,Michaela Onyenwere,Total Points Plus Rebounds,11.5,over,-128,1.78,5,56.67,1.21,,FALSE,12.45,
2026-08-05,WNBA,Shakira Austin,Total Points Plus Rebounds,25.5,under,-108,1.93,5,52.73,1.67,,FALSE,24.13,
2026-08-05,WNBA,Sonia Citron,Total Points Plus Rebounds,19.5,under,-106,1.94,5,52.45,2.05,,FALSE,19.1,
2026-08-05,WNBA,Kiki Iriafen,Total Points Plus Rebounds,25.5,under,-128,1.78,5,55.48,-1.51,,FALSE,23.96,
2026-08-05,WNBA,Paige Bueckers,Total Points Plus Rebounds,23.5,over,-120,1.83,5,54.88,0.73,,FALSE,24.02,
2026-08-05,WNBA,Azzi Fudd,Total Points Plus Rebounds,14.5,over,-130,1.77,5,57.52,2.3,,FALSE,15.94,
2026-08-05,WNBA,Arike Ogunbowale,Total Points Plus Rebounds,17.5,over,-116,1.86,5,54.95,2.7,,FALSE,18.32,
2026-08-05,WNBA,Jessica Shepard,Total Points Plus Rebounds,24.5,over,-122,1.82,5,49.52,-12.08,,FALSE,25.37,
2026-08-05,WNBA,Georgia Amoore,Total Points Plus Assists,9.5,over,-128,1.78,5,60.3,9.48,,FALSE,9.79,
2026-08-05,WNBA,Michaela Onyenwere,Total Points Plus Assists,10.5,over,-114,1.88,5,56.76,7.47,,FALSE,11.62,
2026-08-05,WNBA,Shakira Austin,Total Points Plus Assists,19.5,under,-110,1.91,5,53.15,1.61,,FALSE,18.05,
2026-08-05,WNBA,Sonia Citron,Total Points Plus Assists,20.5,under,-130,1.77,5,57.22,1.62,,FALSE,19.19,
2026-08-05,WNBA,Paige Bueckers,Total Points Plus Assists,25.5,over,-118,1.85,5,46.42,-16.81,,FALSE,25.8,
2026-08-05,WNBA,Jessica Shepard,Total Points Plus Assists,19.5,over,-130,1.77,5,52.21,-9.92,,FALSE,20.25,
2026-08-05,WNBA,Arike Ogunbowale,Total Points Plus Assists,18.5,under,-118,1.85,5,48.1,-13.14,,FALSE,18.36,
2026-08-05,WNBA,Sonia Citron,Total Rebounds Plus Assists,7.5,over,-112,1.89,5,54.5,3.54,,FALSE,7.5,
2026-08-05,WNBA,Michaela Onyenwere,Total Rebounds Plus Assists,5.5,over,114,2.14,5,53.41,12.54,,FALSE,6,
2026-08-05,WNBA,Shakira Austin,Total Rebounds Plus Assists,11.5,under,108,2.08,5,51.05,5.73,,FALSE,11,
2026-08-05,WNBA,Paige Bueckers,Total Rebounds Plus Assists,9.5,over,-118,1.85,5,48.08,-13.19,,FALSE,9.51,
2026-08-05,WNBA,Arike Ogunbowale,Total Rebounds Plus Assists,6.5,over,-132,1.76,5,57.77,2.02,,FALSE,6.3,
2026-08-05,WNBA,Jessica Shepard,Total Rebounds Plus Assists,16.5,under,-104,1.96,5,59.18,16.73,,FALSE,13.58,
2026-08-05,WNBA,Michaela Onyenwere,Total Points Plus Assists Plus Rebounds,13.5,over,-132,1.76,5,62.68,13.43,,FALSE,14.73,
2026-08-05,WNBA,Shakira Austin,Total Points Plus Assists Plus Rebounds,28.5,under,-106,1.94,5,53.75,4.72,,FALSE,27.71,
2026-08-05,WNBA,Sonia Citron,Total Points Plus Assists Plus Rebounds,23.5,under,-104,1.96,5,49.8,-2.41,,FALSE,22.94,
2026-08-05,WNBA,Kiki Iriafen,Total Points Plus Assists Plus Rebounds,27.5,under,-122,1.82,5,56.68,3.83,,FALSE,25.89,
2026-08-05,WNBA,Arike Ogunbowale,Total Points Plus Assists Plus Rebounds,21.5,over,-118,1.85,5,48.86,-11.48,,FALSE,21.64,
2026-08-05,WNBA,Paige Bueckers,Total Points Plus Assists Plus Rebounds,29.5,under,-112,1.89,5,54.14,2.77,,FALSE,29.48,
2026-08-05,WNBA,Jessica Shepard,Total Points Plus Assists Plus Rebounds,30.5,under,-108,1.93,5,53.74,3.78,,FALSE,30.15,
2026-08-05,WNBA,Georgia Amoore,Total Points,5.5,over,-130,1.77,5,56.42,-0.22,,FALSE,6.33,
2026-08-05,WNBA,Michaela Onyenwere,Total Points,8.5,over,-113,1.88,5,54.72,3.55,,FALSE,9.13,
2026-08-05,WNBA,Shakira Austin,Total Points,16.5,under,-110,1.91,5,54.49,4.42,,FALSE,15.9,
2026-08-05,WNBA,Lauren Betts,Total Points,6.5,under,-140,1.71,5,55.78,-6.13,,FALSE,6.44,
2026-08-05,WNBA,Sonia Citron,Total Points,16.5,under,-128,1.78,5,57.48,3.05,,FALSE,15.58,
2026-08-05,WNBA,Kiki Iriafen,Total Points,15.5,under,-114,1.88,5,55.06,3.82,,FALSE,14.29,
2026-08-05,WNBA,Paige Bueckers,Total Points,19.5,over,-120,1.83,5,49.38,-11.37,,FALSE,20.37,
2026-08-05,WNBA,Arike Ogunbowale,Total Points,14.5,over,-118,1.85,5,51.67,-5.35,,FALSE,15.88,
2026-08-05,WNBA,Jessica Shepard,Total Points,13.5,over,-125,1.8,5,55.89,0.74,,FALSE,15.84,
2026-08-05,WNBA,Azzi Fudd,Total Points,13.5,under,-132,1.76,5,57.94,2.42,,FALSE,12.34,
2026-08-05,WNBA,Georgia Amoore,Total Three-Pointers Made,1.5,over,194,2.94,5,38.08,6.16,,FALSE,1.5,
2026-08-05,WNBA,Natasha Cloud,Total Rebounds,3.5,over,102,2.02,5,50.32,1.61,,FALSE,3.72,
2026-08-05,WNBA,Courtney Vandersloot,Total Rebounds,2.5,over,-155,1.65,5,62.31,3.89,,FALSE,3.43,
2026-08-05,WNBA,Ariel Atkins,Total Rebounds,3.5,over,108,2.08,5,49.27,2.29,,FALSE,4.1,
2026-08-05,WNBA,Rae Burrell,Total Rebounds,2.5,over,120,2.2,5,51.72,11.48,,FALSE,3.79,
2026-08-05,WNBA,Dearica Hamby,Total Rebounds,7.5,over,100,2,5,51.16,2.32,,FALSE,8.88,
2026-08-05,WNBA,Erica Wheeler,Total Rebounds,2.5,over,136,2.36,5,48.23,10.17,,FALSE,3.58,
2026-08-05,WNBA,Cameron Brink,Total Rebounds,5.5,under,-128,1.78,5,58.05,4.35,,FALSE,5.17,
2026-08-05,WNBA,Nneka Ogwumike,Total Rebounds,9.5,under,-132,1.76,5,59.88,6.91,,FALSE,7.65,
2026-08-05,WNBA,Kamilla Cardoso,Total Assists,2.5,over,140,2.4,5,45.14,5.95,,FALSE,3.32,
2026-08-05,WNBA,Natasha Cloud,Total Assists,6.5,under,-148,1.68,5,61.41,4.29,,FALSE,5.91,
2026-08-05,WNBA,Courtney Vandersloot,Total Assists,6.5,under,-166,1.6,5,63.44,2.75,,FALSE,6.06,
2026-08-05,WNBA,Rae Burrell,Total Assists,2.5,over,-102,1.98,5,52.79,4.64,,FALSE,3.39,
2026-08-05,WNBA,Dearica Hamby,Total Assists,2.5,over,-140,1.71,5,57.97,-0.87,,FALSE,3.18,
2026-08-05,WNBA,Ariel Atkins,Total Assists,3.5,under,-144,1.69,5,58.34,-1.65,,FALSE,3.23,
2026-08-05,WNBA,Nneka Ogwumike,Total Assists,3.5,under,-172,1.58,5,57.08,-16.73,,FALSE,3.04,
2026-08-05,WNBA,Erica Wheeler,Total Assists,6.5,under,-158,1.63,5,62.03,2.03,,FALSE,6.58,
2026-08-05,WNBA,Courtney Vandersloot,Total Points Plus Rebounds,12.5,over,-106,1.94,5,54.48,6.22,,FALSE,14.44,
2026-08-05,WNBA,Kamilla Cardoso,Total Points Plus Rebounds,24.5,under,-114,1.88,5,51.18,-4.48,,FALSE,24.35,
2026-08-05,WNBA,Natasha Cloud,Total Points Plus Rebounds,15.5,under,-107,1.93,5,48.81,-5.97,,FALSE,15.1,
2026-08-05,WNBA,Dearica Hamby,Total Points Plus Rebounds,23.5,over,-125,1.8,5,55.86,0.68,,FALSE,24.55,
2026-08-05,WNBA,Erica Wheeler,Total Points Plus Rebounds,12.5,over,100,2,5,54.46,8.92,,FALSE,15.38,
2026-08-05,WNBA,Ariel Atkins,Total Points Plus Rebounds,14.5,under,-128,1.78,5,48.88,-16.56,,FALSE,14.35,
2026-08-05,WNBA,Cameron Brink,Total Points Plus Rebounds,15.5,under,-118,1.85,5,54.51,0.83,,FALSE,13.55,
2026-08-05,WNBA,Rae Burrell,Total Points Plus Rebounds,18.5,under,-118,1.85,5,46.71,-16.18,,FALSE,18.11,
2026-08-05,WNBA,Nneka Ogwumike,Total Points Plus Rebounds,27.5,under,-106,1.94,5,53.02,3.23,,FALSE,27.18,
2026-08-05,WNBA,Courtney Vandersloot,Total Points Plus Assists,15.5,over,-118,1.85,5,50.82,-7.21,,FALSE,16.36,
2026-08-05,WNBA,Kamilla Cardoso,Total Points Plus Assists,18.5,under,-128,1.78,5,54.56,-3.61,,FALSE,17.87,
2026-08-05,WNBA,Natasha Cloud,Total Points Plus Assists,18.5,under,-102,1.98,5,53.27,5.61,,FALSE,16.98,
2026-08-05,WNBA,Nneka Ogwumike,Total Points Plus Assists,21.5,over,-130,1.77,5,50.72,-13.33,,FALSE,22.31,
2026-08-05,WNBA,Erica Wheeler,Total Points Plus Assists,16.5,over,100,2,5,51.56,3.11,,FALSE,18.04,
2026-08-05,WNBA,Ariel Atkins,Total Points Plus Assists,14.5,under,-130,1.77,5,49.47,-16.22,,FALSE,13.43,
2026-08-05,WNBA,Rae Burrell,Total Points Plus Assists,18.5,under,-114,1.88,5,55.03,3.75,,FALSE,17.22,
2026-08-05,WNBA,Dearica Hamby,Total Points Plus Assists,19.5,under,-128,1.78,5,52.4,-8.53,,FALSE,19.33,
2026-08-05,WNBA,Kamilla Cardoso,Total Rebounds Plus Assists,10.5,over,-132,1.76,5,57.02,0.29,,FALSE,11.49,
2026-08-05,WNBA,Courtney Vandersloot,Total Rebounds Plus Assists,8.5,over,-136,1.74,5,57.45,-0.42,,FALSE,8.66,
2026-08-05,WNBA,Natasha Cloud,Total Rebounds Plus Assists,9.5,under,-108,1.93,5,54.53,5.42,,FALSE,8.54,
2026-08-05,WNBA,Ariel Atkins,Total Rebounds Plus Assists,6.5,over,-130,1.77,5,57.5,2.24,,FALSE,6.55,
2026-08-05,WNBA,Rae Burrell,Total Rebounds Plus Assists,4.5,over,-146,1.68,5,65.07,14.06,,FALSE,6.04,
2026-08-05,WNBA,Dearica Hamby,Total Rebounds Plus Assists,10.5,under,-132,1.76,5,56.29,-1.4,,FALSE,10.36,
2026-08-05,WNBA,Nneka Ogwumike,Total Rebounds Plus Assists,12.5,under,-125,1.8,5,60.05,10.1,,FALSE,10.88,
2026-08-05,WNBA,Erica Wheeler,Total Rebounds Plus Assists,8.5,under,-128,1.78,5,56.41,0.61,,FALSE,7.91,
2026-08-05,WNBA,Kamilla Cardoso,Total Points Plus Assists Plus Rebounds,26.5,over,-122,1.82,5,52.66,-5.08,,FALSE,27.09,
2026-08-05,WNBA,Courtney Vandersloot,Total Points Plus Assists Plus Rebounds,18.5,over,-114,1.88,5,54.52,2.68,,FALSE,20.28,
2026-08-05,WNBA,Natasha Cloud,Total Points Plus Assists Plus Rebounds,22.5,under,-118,1.85,5,56.53,5.25,,FALSE,20.08,
2026-08-05,WNBA,Ariel Atkins,Total Points Plus Assists Plus Rebounds,17.5,over,-118,1.85,5,51.84,-4.98,,FALSE,18.22,
2026-08-05,WNBA,Rae Burrell,Total Points Plus Assists Plus Rebounds,20.5,over,-130,1.77,5,51.23,-12.17,,FALSE,21.21,
2026-08-05,WNBA,Dearica Hamby,Total Points Plus Assists Plus Rebounds,26.5,over,-118,1.85,5,54.09,-0.08,,FALSE,27.44,
2026-08-05,WNBA,Erica Wheeler,Total Points Plus Assists Plus Rebounds,18.5,over,-112,1.89,5,54.54,3.63,,FALSE,20.78,
2026-08-05,WNBA,Nneka Ogwumike,Total Points Plus Assists Plus Rebounds,31.5,under,-122,1.82,5,57.18,4.95,,FALSE,30.26,
2026-08-05,WNBA,Courtney Vandersloot,Total Points,9.5,over,-106,1.94,5,53.15,3.48,,FALSE,11.12,
2026-08-05,WNBA,Kamilla Cardoso,Total Points,15.5,under,-110,1.91,5,52.88,1.05,,FALSE,15.02,
2026-08-05,WNBA,Natasha Cloud,Total Points,12.5,under,-114,1.88,5,54.16,1.9,,FALSE,12.21,
2026-08-05,WNBA,Sydney Taylor,Total Points,18.5,under,-130,1.77,5,59.6,7.09,,FALSE,16.16,
2026-08-05,WNBA,Ariel Atkins,Total Points,10.5,over,-120,1.83,5,48.25,-13.84,,FALSE,10.78,
2026-08-05,WNBA,Nneka Ogwumike,Total Points,18.5,over,-115,1.87,5,53.85,0.78,,FALSE,20.24,
2026-08-05,WNBA,Erica Wheeler,Total Points,9.5,over,-120,1.83,5,58.69,9.12,,FALSE,12.83,
2026-08-05,WNBA,Cameron Brink,Total Points,9.5,under,-110,1.91,5,45.64,-14.15,,FALSE,8.9,
2026-08-05,WNBA,Rae Burrell,Total Points,16.5,under,-130,1.77,5,57.75,2.82,,FALSE,13.65,
2026-08-05,WNBA,Dearica Hamby,Total Points,16.5,under,-125,1.8,5,56.88,2.99,,FALSE,16.08,
2026-08-05,WNBA,Natasha Cloud,Total Three-Pointers Made,1.5,over,116,2.16,5,46.95,1.22,,FALSE,1.63,
2026-08-05,WNBA,Sydney Taylor,Total Three-Pointers Made,2.5,under,-146,1.68,5,62.8,8.48,,FALSE,2.08,
2026-08-05,WNBA,Ariel Atkins,Total Three-Pointers Made,1.5,over,116,2.16,5,46.58,0.53,,FALSE,1.6,
2026-08-05,WNBA,Nneka Ogwumike,Total Three-Pointers Made,1.5,over,116,2.16,5,50.84,8.46,,FALSE,2.12,
2026-08-05,WNBA,Erica Wheeler,Total Three-Pointers Made,1.5,over,148,2.48,5,48.69,14.02,,FALSE,2.23,
2026-08-05,WNBA,Rae Burrell,Total Three-Pointers Made,1.5,under,-122,1.82,5,55.25,0.66,,FALSE,1.35,
2026-08-05,WNBA,Kamilla Cardoso,Total Rebounds,8.5,over,-112,1.89,5,48.2,-9.82,,FALSE,8.97,
2026-08-05,WNBA,Kahleah Copper,Total Points Plus Rebounds,24.5,over,-114,1.88,5,48.47,-10.28,,FALSE,24.81,
2026-08-05,WNBA,Kelsey Plum,Total Points Plus Rebounds,17.5,over,-114,1.88,5,55.13,3.98,,FALSE,20.53,
2026-08-05,WNBA,Alyssa Thomas,Total Points Plus Rebounds,23.5,over,-115,1.87,5,53.68,0.41,,FALSE,25.76,
2026-08-05,WNBA,DeWanna Bonner,Total Points Plus Rebounds,17.5,under,-122,1.82,5,55.79,1.84,,FALSE,15.35,
2026-08-05,WNBA,Natasha Mack,Total Points Plus Rebounds,11.5,under,-118,1.85,5,47.32,-14.84,,FALSE,11.45,
2026-08-05,WNBA,Jordin Canada,Total Points Plus Assists,19.5,over,-104,1.96,5,51.62,1.31,,FALSE,20.51,
2026-08-05,WNBA,Allisha Gray,Total Points Plus Assists,20.5,under,100,2,5,52.12,4.24,,FALSE,18.82,
2026-08-05,WNBA,Rhyne Howard,Total Points Plus Assists,20.5,under,-108,1.93,5,53.89,4.09,,FALSE,18.09,
2026-08-05,WNBA,DeWanna Bonner,Total Points Plus Assists,12.5,over,-123,1.81,5,56.54,3.09,,FALSE,12.36,
2026-08-05,WNBA,Kahleah Copper,Total Points Plus Assists,22.5,over,-113,1.88,5,53.21,0.33,,FALSE,24.06,
2026-08-05,WNBA,Kelsey Plum,Total Points Plus Assists,20.5,over,-130,1.77,5,56.97,1.02,,FALSE,22.83,
2026-08-05,WNBA,Alyssa Thomas,Total Points Plus Assists,23.5,over,-120,1.83,5,52.72,-4.02,,FALSE,26.27,
